document,text,label,text_len_words,label_id
"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT","A Participant will not be liable to the Joint Venture, or to any other Participant, for any mistake or error in judgment or for any act or omission done in good faith and believed to be within the scope of authority conferred or implied by this Agreement or the Joint Venture.",Cap On Liability,51,5
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement,"Sanofi shall, at RevMed's request, for a period not to exceed [***] following the effective date of termination, provide reasonable technical assistance up to a total of [***] and, to the extent not already provided to RevMed, transfer copies of (including when available, in electronic format) all Sanofi Sole Program Know-How to RevMed or its designee, including without limitation: [***], in each case to the extent such materials are exclusively related to the Termination Product.",Volume Restriction,75,39
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement,"In consideration of the services rendered pursuant to this Agreement, Integrity shall receive the excess, if any, of the sales price, as set forth in the Fund's Registration Statement, over the net asset value of Shares sold by Integrity, as underwriter.",Revenue/Profit Sharing,41,32
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT","Subject to the terms of this Agreement, including without limitation Section 2.2, Theravance grants to GSK, and GSK accepts, an exclusive (except as to Theravance and its Affiliates) license in the Field under the Theravance Patents, Theravance Know-How and Theravance's rights in the Joint Inventions to make, have made, use and Develop Collaboration Products for Commercialization in the Territory.",Exclusivity,59,11
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,"Company may terminate this Agreement and the license granted herein, for any reason, upon giving JHU sixty (60) days written notice under Paragraph 8.1.",Termination For Convenience,24,35
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,Customer is responsible for obtaining and maintaining personal property insurance sufficient to cover the value of Customer Components;,Insurance,18,14
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,"GARMAN ROUTING SYSTEMS, INC.",Parties,4,28
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement,"This Agreement, which is in English, shall be governed by and construed in accordance with the laws of the State of California without regard to the conflicts of laws principles thereof.",Governing Law,31,13
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","Upon the termination of this Agreement, or upon Company's earlier requests, Consultant will deliver to Company all property relating to, and all tangible embodiments of, Inventions in Consultant's possession or control.",Post-Termination Services,31,29
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,"PaperExchange hereby grants VerticalNet a non-exclusive, non-transferable, royalty-free, right and license to link to the PaperExchange Site through a PaperExchange Link",Non-Transferable License,21,26
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,"Subject to the terms and conditions of this Agreement, Online BVI hereby grants to Skype and the Company a limited, non-exclusive, non-sublicensable (except as set forth herein), non-transferable, non-assignable (except as provided in Section 14.4), royalty- free (but subject to the provisions of Section 5), license during the Term to use, market, provide access to, promote, reproduce and display the Online BVI Intellectual Property solely as incorporated in, and for the development of and for transmission pursuant to this Agreement of the Company-Skype Branded Application, the Company-Skype Branded Content and the Company-Skype Branded Web Site.",Non-Transferable License,95,26
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT","This Agreement may not be assigned by either Party to any Third Party without the written consent of the other Party hereto; except either Party may assign this Agreement without the other Party's consent to an entity that acquires substantially all of the business or assets of the assigning Party, whether by merger, acquisition or otherwise; provided that the acquiring party agrees in a writing delivered to the non-assigning Party to assume all of the rights and obligations of the assigning Party under this Agreement.",Anti-Assignment,85,3
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT",Term: twelve (12) months from the date of the Agreement which term shall automatically renew for an additional twelve (12) months on such date if the Agreement is not otherwise terminated according to Section 8 of the Agreement.,Renewal Term,38,31
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement,"EXCEPT FOR EITHER PARTY'S VIOLATION OF THE CONFIDENTIALITY OBLIGATIONS AND FOR EITHER PARTY'S INDEMNIFICATION OBLIGATIONS, IN NO EVENT WILL EITHER PARTY BE LIABLE FOR SPECIAL, INCIDENTAL, CONSEQUENTIAL, INDIRECT OR PUNITIVE DAMAGES, OR LOST PROFITS, REGARDLESS OF WHETHER SUCH LIABILITY IS BASED ON BREACH OF CONTRACT, TORT, STRICT LIABILITY, BREACH OF WARRANTIES, FAILURE OF ESSENTIAL PURPOSE OR OTHERWISE AND EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Uncapped Liability,67,37
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT,FCC may not assign or delegate its rights or obligations pursuant to this Agreement.,Anti-Assignment,14,3
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1,"All matters relating to this Agreement, the rights of the Parties hereunder and the construction of the terms hereof shall be governed by the laws of the State of California, without regard to conflicts of laws principles.",Governing Law,37,13
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement,"Notwithstanding the foregoing, ExxonMobil hereby grants approval for FCE solely to conduct Authorized Work using Generation 1 Technology with Authorized Third Parties for Carbon Capture Applications and any Work using Generation 2 Technology solely for Power Applications and Hydrogen Applications.",Competitive Restriction Exception,40,7
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"In the event of your death or incapacity, or the death or incapacity of any partner, any shareholder owning fifty percent (50%) or more of your capital stock, or any Member who owns a majority interest in a limited liability company, the heirs, beneficiaries, devisees, or legal representatives of said individual, partner or shareholders shall, within one hundred eighty (180) days of such event: 1. Apply to us for the right to continue to operate the franchise for the duration of the term of this Agreement and any renewals hereof, which right shall be granted upon the fulfillment of all of the conditions set forth in Paragraph XVIII. of this Agreement (except that no transfer fee shall be required); or 2. Sell, assign, transfer, or convey your interest in compliance with the provisions of Paragraphs XVIII and XX of this Agreement; provided, however, in the event a proper and timely application for the right to continue to operate has been made and rejected, the one hundred eighty (180) days to sell, assign, transfer or convey shall be computed from the date of said rejection. For purposes of this Paragraph, our silence on an application made pursuant to Paragraph XIX.A.1. through the one hundred and eighty (180) days following the event of death or incapacity shall be deemed a rejection made on the last day of such period.",Change Of Control,227,6
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement","Miltenyi will not in any event be liable for increased manufacturing costs, downtime costs, purchase of substitute products, lost profits, revenue, or goodwill, or any other indirect incidental, special, or consequential damages caused by a breach of the Miltenyi Product Warranty or the warranties in Section 11.2.",Cap On Liability,47,5
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT,"Neither this Agreement nor the rights or obligations hereunder may be assigned by either party, by operation of law or otherwise, without the prior written consent of the other party, which consent shall not be unreasonably withheld, provided that (a) Metavante's consent need not be obtained in connection with the assignment of this Agreement pursuant to a merger in which Customer is a party and as a result of which the surviving Entity becomes an Affiliate or Subsidiary of another bank holding company, bank, savings and loan association or other financial institution, so long as the provisions of all applicable Schedules are complied with; and (b) Metavante may freely assign this Agreement so long as it is (i) in connection with a merger, corporate reorganization, or sale of all or substantially all of its assets, stock, or securities, or (ii) to any Entity which is a successor to the assets or the business of Metavante.",Anti-Assignment,155,3
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement,"(1) On Naked's website(s) (""Website""); (2) In social media channels, including, but not limited to Facebook, Instagram, Twitter, YouTube, Google+, Tumblr and other mutually agreeable channels, with reasonable frequency, to promote Naked Products and Wade Products; (3) In marketing and media opportunities in connection with the Wade Services (as defined below); and (4) For use on the packaging of the Naked Products and Wade Products and on Wade Products themselves.",License Grant,70,18
"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT",This Agreement was negotiated and is being contracted,Governing Law,8,13
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"FOR ANY BREACH OR DEFAULT BY CHANGEPOINT OF ANY OF THE PROVISIONS OF THIS AGREEMENT, OR WITH RESPECT TO ANY CLAIM ARISING HEREFROM OR RELATED HERETO, EXCEPT FOR ANY CLAIM FOR BREACH OF SECTION 5.2 (UNAUTHORIZED DISCLOSURE OF CONFIDENTIAL INFORMATION), OR FOR BREACH OF SECTION 6.4(A) (INTELLECTUAL PROPERTY INDEMNITY), CHANGEPOINT'S ENTIRE LIABILITY, REGARDLESS OF THE FORM OF ACTION, WHETHER BASED ON CONTRACT OR TORT, INCLUDING 32 NEGLIGENCE, SHALL IN NO EVENT EXCEED (I) THE AMOUNT PAID BY CUSTOMER HEREUNDER FOR THE LICENSED MATERIALS, (II) THE AMOUNT PAID BY CUSTOMER FOR THE MAINTENANCE SERVICE THAT IS THE SUBJECT OF THE CLAIM IF THE CLAIM RELATES TO A BREACH OR DEFAULT BY CHANGEPOINT OF THE PROVISIONS OF ARTICLE 7, (III) THE AMOUNT PAID BY CUSTOMER FOR THE INSTALLATION SERVICE THAT IS THE SUBJECT OF THE CLAIM IF THE CLAIM RELATES TO A BREACH OR DEFAULT BY CHANGEPOINT OF THE PROVISIONS OF THIS AGREEMENT PERTAINING TO INSTALLATION SERVICE, OR (IV) IN THE AGGREGATE WITH RESPECT TO ALL CLAIMS UNDER OR RELATED TO THIS AGREEMENT, THE AMOUNT PAID BY CUSTOMER UNDER THIS AGREEMENT.",Cap On Liability,179,5
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement,"Zogenix shall supply (or have supplied) to Distributor, in accordance with the terms set forth on Exhibit 2.3, and Distributor shall purchase exclusively from Zogenix, Distributor's and its Affiliates' and Sub- distributors' Unlabeled Drug Product requirements of the Product for sale by Distributor or its Affiliates or Sub-distributors in the Territory in the Field, subject to and under the provisions of Section 5.2 and the Supply Agreement.",Exclusivity,67,11
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement,The rights of Developer under this Agreement shall immediately cease and be terminated upon the sale or transfer of all or substantially all of the assets of Developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by DSS.,Anti-Assignment,48,3
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,"Franchisee assigns to Pretzel Time or its designee all of Franchisee's right, title and interest in and to any and all such Promotional Allowances and authorizes Pretzel Time or its designee to collect any such Promotional Allowances for remission to the general operating funds of Pretzel Time.",Ip Ownership Assignment,47,15
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,"Pretzel Time reserves the right to suspend contributions/fees and operations of the Advertising Fund for one or more periods, and the right to terminate the Advertising Fund, upon thirty (30) days' prior written notice to Franchisee.",Termination For Convenience,36,35
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement",The total amount of any reduction(s) pursuant to this Section 11.5(b) shall in no event exceed [...***...] percent ([...***...]%) of the Product Price payable for the applicable Miltenyi Product in that Contract Year (with the right to carry forward any unused offset).,Cap On Liability,42,5
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement,Qualigen shall provide Sekisui with copies of any Product test records requested or Sekisui may audit Qualigen to review the Product test records.,Audit Rights,23,4
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,"SFJ shall, and shall cause its Affiliates to, promptly assign to PB or its designee any and all Clinical Trial Agreements, CRO Agreements and other Vendor Agreements to which any of them is a party and cooperate in good faith with PB to provide appropriate notice and new contact information to the applicable Sites, Clinical Investigators, CROs and other Vendors and PB shall accept such assignment of all obligations of SFJ and its Affiliates thereunder without recourse to SFJ other than any indemnification obligations which SFJ may be liable for thereunder.",Post-Termination Services,91,29
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement,"This Agreement shall become effective as of the Effective Date and, unless otherwise terminated in accordance with the provisions of Section 4 of this Agreement, will continue until the expiration of the Warranty Period as defined in subsection 9(a) of this Agreement.",Expiration Date,42,12
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement,The parties to this Agreement hereby agree that the law of the State of New York shall govern their rights and duties in whole without regard to the conflict of law provisions thereof (other than New York General Obligations Law Sections 5-1401 and 5-1402).,Governing Law,44,13
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2,"June 11, 2018",Agreement Date,3,2
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,"After the Initial Term (including any extension thereto made in accordance with the preceding sentence), the Agreement may be extended on a yearly basis up to ten (10) years at Vericel's sole discretion, with renewal notice to be provided to MediWound no later than twelve (12) months prior to the expiry of any yearly extension (the ""Renewal Term"", and the Initial Term, together with the Renewal Term, if any, the ""Term""); provided that unless otherwise agreed by the Parties, the Term of this Agreement (including the Initial Term, any extension of the Initial Term and any Renewal Terms) shall be no more than fifteen (15) years in total.",Notice Period To Terminate Renewal,108,27
PHLVARIABLEINSURANCECOCT_08_17_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,"This Agreement shall be construed and its provisions interpreted under and in accordance with the internal Laws of the State of Connecticut, without giving effect to principles of conflict or choice of laws of that or any other jurisdiction.",Governing Law,39,13
TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT,Such personal appearances shall be limited to one (1) day and shall not exceed five (5) hours each in duration.,Volume Restriction,20,39
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,"XSPA shall obtain, and thereafter maintain during the Term, the following insurance: (a) Special form property policy covering all stock on premises of the Store, including with respect to all Product Collateral; (b) Workers' Compensation Insurance in the statutorily required amount (or XSPA shall participate in the appropriate state fund if such insurance is not available or allowed), together with Employer's Liability Insurance with a limit of $1,000,000 for each accident; and (c) Commercial General Liability insurance, (including fire liability, contractual liability, personal injury, product liability and completed operations coverage) in the amount of not less than $3,000,000 combined single limit with umbrella liability coverage with a limit of not less than $10,000,000;",Insurance,113,14
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement,"EFFECTIVE DATE: November 01, 2016",Effective Date,5,10
IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT,"The initial production period shall be for a period of two (2) months to commence on November 4, 1998 (the ""Production Period""), and the remaining term of this Agreement shall be for a period of twenty four (24) months to commence on the tentative launch date of January 4, 1999, unless terminated earlier as provided herein (the ""Promotion Period""), (The Production Period and the Promotion Period shall be collectively referred to as the ""Initial Term"").",Expiration Date,75,12
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT","Subject to the terms and conditions of this Agreement, the Company hereby grants to Seller a perpetual, non- exclusive, royalty-free license in, to and under the Company Licensed Know-How for use in the Arizona Field throughout the world.",License Grant,38,18
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement,"The following additional terms shall apply to Eutectix's exercise of this option: (a) Eutectix's option hereunder shall be exercisable by providing Liquidmetal with written notice of its intention to exercise its chosen option no later than the effective date of termination. Such notice shall include a description of the assets Eutectix will purchase (the ""Optioned Assets""). (b) In the event that Eutectix and Liquidmetal cannot agree to a fair market value for the Optioned Assets, then the fair market value shall be determined by an independent third-party appraisal. Eutectix and Liquidmetal shall each select one independent, qualified appraiser, and the two so selected shall select a third appraiser, all three to independently from one another determine the fair market value of the Optioned Assets. The purchase price shall be the mean of the fair market values as determined by the three appraisers. (c) The closing for the purchase of the Optioned Assets will take place no later than sixty (60) days after the termination, unless the Parties cannot agree on the price, in which case, closing will take place no later than sixty (60) days after the three independent appraisals have been received. Eutectix will pay the purchase price in full at the closing. Liquidmetal must sign all documents of assignment and transfer as are reasonably necessary for purchase of the Optioned Assets by Liquidmetal. (d) In the event that Eutectix does not exercise its right to purchase the Optioned Assets as set forth above, Liquidmetal will be free to keep or to sell, after such termination to any third party, all of the Optioned Assets and shall be responsible for timely removing equipment not purchased by Eutectix at Liquidmetal's own expense. In the event Liquidmetal fails to timely remove such Optioned Assets, in light of the periods for continued operation in Section 5.4(b)(ii) and closing in Section 5.5(c), Eutectix may dispose of them, at Liquidmetal's cost, with no liability to Eutectix.",Rofr/Rofo/Rofn,322,33
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement,"The cost of storage, monitoring (including any on-going analytical analysis), and insurance before shipment shall be borne by [* * *].",Insurance,21,14
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,"Manufacturer shall have the right to provide the total limits required by any combination of self-insurance, primary and umbrella/excess coverage; said insurance to include the following: (a) Insurance for liability under the workers' compensation or occupational disease Laws of any state of the United States (or be a qualified self-insurer in those states of the United States) or otherwise applicable with respect to Persons performing the services and employer's liability insurance covering all claims by or in respect to the employees of Manufacturer, providing: (i) Coverage for the statutory limits of all claims under the applicable State Workers' Compensation Act or Acts. If a Facility Addendum will result in exposures under the U.S. Longshore and Harbor Workers' Compensation Act and its amendments (work dockside or on water), the Jones Act (involving seamen, masters and crew of vessels) or the Federal Employers' Liability Act (railroad exposure), coverage shall be extended to include insurance coverages mandated thereby; (ii) Employer's liability insurance with a limit of not less than $1,000,000; (iii) Manufacturer warrants that all of its employees involved in this Agreement are covered by statutory workers' compensation; and -65- Source: UPJOHN INC, 10-12G, 1/21/2020 (iv) Where allowed by Applicable Law, Customer and its Affiliates shall be provided a waiver of subrogation, except for losses due to the sole negligence of Manufacturer.",Insurance,219,14
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,"Such license is granted solely in connection with NTC's rights and obligations under this Agreement and, in particular, for the purpose of licensing NTC to use the ALFA AESAR Trademark on the NTC web site as expressly contemplated herein for referral of customers of Research Quantities to ALFA AESAR and is a link/navigational button to the ALFA AESAR Site.",License Grant,59,18
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement,"At least eight (8) ""Service Days"", including but not limited to: 1. Production days. Up to four (4) production days (defined as a maximum of eight (8) consecutive hours each), with PAPA JOHN'S creative agency. 2. Personal appearances. CELEBRITY shall appear at least (each of the following not to exceed six (6) consecutive hours): (A) One (1) day engaging with franchisees and team members at company-wide event(s); (B) One (1) day visiting Papa John's Pizza stores, date and locations to be mutually agreed upon by the Parties; and (C) One (1) day at a community event, date and location to be mutually agreed upon by the Parties.",Minimum Commitment,107,20
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,19 Jan. 1998,Agreement Date,3,2
STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT,"Cable & Wireless, Inc.",Parties,4,28
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT","CONSULTANT acknowledges that all copyrightable Work Product which is capable of being classified as ""works made for hire"" under the U.S. Copyright Act of 1976, as amended, shall be deemed ""works made for hire"" and that the Company shall be the author of, and own all rights therein.",Ip Ownership Assignment,48,15
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION,Centre for Probe Development and Commercialization,Parties,6,28
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement,"July 26, 2013",Agreement Date,3,2
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT,"case of such a failure, VIP will maintain disaster and/or business interruption insurance adequate to establish alternate site processing, as provided for in paragraph 12(A) of this Agreement.",Insurance,28,14
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT,"Subject to the terms and conditions of this Agreement, MacroGenics hereby grants to Green Cross a non-exclusive,",License Grant,17,18
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement","Except in the case of latent defects as described in Section 7.3, each shipment of Miltenyi Products shall be deemed accepted by Bellicum if Bellicum or its designated recipient of the shipment does not provide Miltenyi with written notice of rejection (a ""Rejection Notice"") within [...***...] days from the date of receipt of the relevant shipment of Miltenyi Product, describing the reasons for the rejection and the non-conforming characteristics of such Rejected Product in reasonable detail.",Warranty Duration,76,40
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,"The Monthly Compensation shall be paid for the remaining monthly periods remaining in the Term, as if the termination of this Agreement had not occurred, or twenty four (24) calendar months, which ever period is less, where payment shall be made no later than thirty (30) calendar days after the end of the relevant monthly period.",Post-Termination Services,56,29
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement,EACH PARTY'S LIABILITY ARISING OUT OF OR RELATED TO THIS AGREEMENT WILL NOT EXCEED AN AMOUNT EQUAL TO THE AGGREGATE AMOUNTS PAID OR PAYABLE TO LICENSOR IN THE TWELVE (12) MONTHS PRECEDING THE COMMENCEMENT OF THE CLAIM.,Cap On Liability,37,5
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement,"If at the time of such termination, Sanofi or its Affiliates are Commercializing a particular Termination Product, then, at RevMed's request, the Parties shall negotiate in good faith a transition services agreement to cover detailing and promotion of such Termination Product (in the same manner and no more extensive than the then-current detailing and promotional efforts of Sanofi) by Sanofi or its Affiliate or contract sales force pursuant to a transition plan agreed by the Parties for a period not to exceed [***], and RevMed shall pay Sanofi a commercially reasonable amount to conduct such activities (which amount would include a commercially reasonable per-detail rate).",Post-Termination Services,105,29
"SUCAMPOPHARMACEUTICALS,INC_11_04_2015-EX-10.2-STRATEGIC ALLIANCE AGREEMENT","R-Tech Ueno, Ltd.",Parties,3,28
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT","Capsugel US, LLC",Parties,3,28
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement","Bachem shall make accessible for review by Magenta during an audit or inspection, or following Product release by Bachem's Quality Assurance Department, either onsite or on an electronic platform with restricted access rights only (as reasonably requested by Magenta), at a mutually agreeable time, all specific Batch and lot records relevant to Bachem's performance hereunder, including written investigations of any deviations and ""out-of-specification"" events that may have been generated from manufacturing, packaging, inspection, or testing processes.",Audit Rights,76,4
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1,"In the event that this Agreement is terminated prior to the end of the Initial Term, any portion of the Year 1 Minimum Royalty that has been spread across Years 2 through 5 of the Term pursuant to Exhibit 10 and which has not yet been paid to Client, shall immediately become due and owing.",Minimum Commitment,55,20
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,Emerald Health Sciences Inc.,Parties,4,28
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT","CONSULTANT agrees that during its consultancy for REIT and for a period of twelve (12) months immediately following the termination of its consultancy with the Company for any reason, whether with or without cause, it will not, for itself or any other person or entity: (a) solicit, induce, recruit or encourage any of the Company's employees, contractors, independent contractors or any person who provides services to the Company to terminate or reduce their employment or other relationship with the Company; (b) hire any individual who is (or was within the six (6) months immediately preceding such hiring, unless such employee was terminated from such employment by Company) an employee, exclusive contractor, or exclusive independent contractor of the Company; or (c) attempt to do any of the foregoing.",No-Solicit Of Employees,127,23
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement,"The Developer hereby warrants and represents that following delivery of the Application System to the Client (which shall be deeded to occur only on the date the Web Application is uploaded to the AWS for distribution) pursuant to Exhibit A (the ""Support Period""), the Application will be free from programming errors and defects in workmanship and materials, and will conform to the specifications of Exhibit A",Warranty Duration,66,40
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,AT&T may inspect and inventory the material furnished by AT&T under this Agreement during Vendor's normal business hours.,Audit Rights,18,4
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT",ASP and Outsourcing Agreement,Document Name,4,9
"Sonos, Inc. - Manufacturing Agreement ","[*] is responsible for all premiums, deductibles and retentions for such insurance.",Insurance,12,14
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement,"EXCEPT AS SET FORTH BELOW IN THIS SECTION 13.4(b), IN NO EVENT WILL SUPPLIER'S LIABILITY, [* * *], BE GREATER THAN, PER CLAIM OR SERIES OF CLAIMS ARISING FROM THE SAME CAUSE OF ACTION, [* * *].",Cap On Liability,37,5
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT,"At the written request of Customer, given at least 100 days prior to expiration of the Term of the Agreement, M&I shall continue to provide Customer all Services at the rates set forth in this Agreement, for a maximum period of six (6) months.",Post-Termination Services,44,29
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement,"At the end of the sell-off period set forth in Section 12.3(c)(iii), Sanofi shall transfer to RevMed any and all inventory of SHP2 Inhibitors and Termination Products (including all research materials, final product, bulk drug substance, intermediates, work-in-process, formulation materials, reference standards, drug product clinical reserve samples, packaged retention samples, and the like) then in the possession of Sanofi, its Affiliates or Sublicensees, and continue or have continued any ongoing stability studies pertaining to any materials so transferred to RevMed for a reasonable period of time until RevMed can assume responsibility for such activities",Post-Termination Services,94,29
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,"Notwithstanding the foregoing, Franchisee shall not be prohibited from owning securities listed on a stock exchange or traded on the over-the-counter market that represents two percent (2%) or less of that class of securities.",Competitive Restriction Exception,34,7
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,"November 1, 2019",Effective Date,3,10
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,If Network 1 desires to exercise its rights under this Section it will give written notice to Affiliate within 15 business days of receipt of the Offer.,Rofr/Rofo/Rofn,27,33
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT,Excite will negotiate exclusively with Sponsor for the next [****] in good faith effort to negotiate and execute a written sponsorship renewal agreement.,Rofr/Rofo/Rofn,23,33
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement,"TL hereby grants to Integrity the right to use its ""TL Music"" name and logo (""the TL Trademarks"") in connection with the products produced during the Term of this Agreement for as long as the parties continue to sell and distribute such products at no additional cost to Integrity, and in accordance with the terms and conditions contained herein.",License Grant,59,18
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,"It being understood and agreed that Bizzingo shall have the right to exhibit commercials, infomercials, advertisements and otherwise make use of all Property on a worldwide basis and that Bizzingo and its affiliates shall be the sole owner of all commercials, promotional materials and other items produced or created hereunder and all related rights worldwide, including, without limitation, copyright, trademark and intellectual property rights, subject however to the terms and conditions herein.",License Grant,72,18
